ref_compo,categorie,aero,desc,lifespan,taux_usure_actuel,cout
REAE170-E170_6353-0,Composants Critiques,E170_6353,Réacteur gauche,13045,64.12268000000002,15552
REAE170-E170_6353-1,Composants Critiques,E170_6353,Réacteur droit,13626,61.40790400000001,17559
SYSE170-E170_6353-2,Composants Critiques,E170_6353,Système de navigation,10541,25.469064000000003,16514
ORDE170-E170_6353-3,Composants Critiques,E170_6353,Ordinateur de vol,10441,15.308664,16047
AUTE170-E170_6353-4,Composants Critiques,E170_6353,Autopilote,14847,54.341688000000005,19362
SYSE170-E170_6353-5,Composants Critiques,E170_6353,Système de contrôle de vol,12580,15.972319999999998,19492
RADE170-E170_6353-6,Composants Critiques,E170_6353,Radar météorologique,11923,32.038391999999995,17567
SYSE170-E170_6353-7,Composants Critiques,E170_6353,Système de communication radio,10370,34.764480000000006,19214
SYSE170-E170_6353-8,Composants Critiques,E170_6353,Système de gestion de carburant,13219,13.399976,18351
SYSE170-E170_6353-9,Composants Critiques,E170_6353,Système d'alerte de proximité au sol (GPWS),10423,39.652392,18680
SYSE170-E170_6353-10,Composants Critiques,E170_6353,Système de commande des gaz,11747,36.539288,18091
UNIE170-E170_6353-11,Composants Critiques,E170_6353,Unité de gestion de l'air,13224,39.324496,17834
SYSE170-E170_6353-12,Composants Critiques,E170_6353,Système de gestion électrique,10409,48.729736,16266
SYSE170-E170_6353-13,Composants Critiques,E170_6353,Système d'atterrissage automatique,13537,60.067448,15045
SYSE170-E170_6353-14,Composants Critiques,E170_6353,Système de surveillance du trafic aérien,10023,57.170792,17135
SYSE170-E170_6353-15,Composants Majeurs,E170_6353,Système hydraulique principal,14811,21.129144,14197
GENE170-E170_6353-16,Composants Majeurs,E170_6353,Générateur électrique,13716,47.819264,10833
TRAE170-E170_6353-17,Composants Majeurs,E170_6353,Train d'atterrissage principal,10389,44.96165600000001,12512
TRAE170-E170_6353-18,Composants Majeurs,E170_6353,Train d'atterrissage avant,13964,39.883456,14173
SYSE170-E170_6353-19,Composants Majeurs,E170_6353,Système anti-givre,14807,44.085528,13366
AILE170-E170_6353-20,Composants Majeurs,E170_6353,Ailerons,10524,59.553696,10290
EMPE170-E170_6353-21,Composants Majeurs,E170_6353,Empennage,13736,61.627344,10528
FLAE170-E170_6353-22,Composants Majeurs,E170_6353,Flaps,11025,14.886600000000003,14480
SPOE170-E170_6353-23,Composants Majeurs,E170_6353,Spoilers,13426,15.627104,12456
FREE170-E170_6353-24,Composants Majeurs,E170_6353,Freins,11015,38.94756000000001,12664
SYSE170-E170_6353-25,Composants Majeurs,E170_6353,Système de contrôle des surfaces de vol,11125,19.557,12191
GOUE170-E170_6353-26,Composants Majeurs,E170_6353,Gouvernail de direction,12643,41.82927199999999,12059
SYSE170-E170_6353-27,Composants Majeurs,E170_6353,Système de pressurisation,11338,15.149552000000003,13233
SYSE170-E170_6353-28,Composants Majeurs,E170_6353,Système de conditionnement d'air,10343,10.730072,13453
SYSE170-E170_6353-29,Composants Majeurs,E170_6353,Système d'extinction d'incendie,11971,59.18178400000001,10109
ECLE170-E170_6353-30,Composants Secondaires,E170_6353,Éclairage de cabine,12779,58.972216,4788
SIEE170-E170_6353-31,Composants Secondaires,E170_6353,Siège pilote,12106,29.89382400000001,2151
SIEE170-E170_6353-32,Composants Secondaires,E170_6353,Siège copilote,14200,52.3968,3722
SYSE170-E170_6353-33,Composants Secondaires,E170_6353,Système de divertissement en vol,13985,44.95244000000002,2723
SYSE170-E170_6353-34,Composants Secondaires,E170_6353,Système d'annonce publique,13876,16.803904000000003,2021
TOIE170-E170_6353-35,Composants Secondaires,E170_6353,Toilettes,13230,20.24992,4801
SYSE170-E170_6353-36,Composants Majeurs,E170_6353,Système de conditionnement d'air,10343,56.50007200000001,13453
DETE170-E170_6353-37,Composants Secondaires,E170_6353,Détecteurs de fumée,11066,20.923664,2147
ECLE170-E170_6353-38,Composants Secondaires,E170_6353,Éclairage d'urgence,14359,16.400536000000006,4936
PORE170-E170_6353-39,Composants Secondaires,E170_6353,Porte cargo,11447,18.428088,2850
SYSE170-E170_6353-40,Composants Secondaires,E170_6353,Systèmes d'oxygène d'urgence,13038,34.81635200000001,4745
PORE170-E170_6353-41,Composants Secondaires,E170_6353,Portes passagers,13107,28.118728,3053
HUBE170-E170_6353-42,Composants Secondaires,E170_6353,Hublots,68978,67.71611200000001,3593
ECLE170-E170_6353-43,Composants Secondaires,E170_6353,Éclairage de la cabine,10639,59.49765599999999,4965
SYSE170-E170_6353-44,Composants Secondaires,E170_6353,Système d'approvisionnement en eau,12796,32.117584,4701
REAB767-B767_2803-0,Composants Critiques,B767_2803,Réacteur gauche,13045,13.70728,15552
REAB767-B767_2803-1,Composants Critiques,B767_2803,Réacteur droit,13626,29.172784000000004,17559
SYSB767-B767_2803-2,Composants Critiques,B767_2803,Système de navigation,10541,54.254144,16514
ORDB767-B767_2803-3,Composants Critiques,B767_2803,Ordinateur de vol,10441,33.215744,16047
AUTB767-B767_2803-4,Composants Critiques,B767_2803,Autopilote,14847,14.960048000000002,19362
SYSB767-B767_2803-5,Composants Critiques,B767_2803,Système de contrôle de vol,12580,35.41271999999999,19492
RADB767-B767_2803-6,Composants Critiques,B767_2803,Radar météorologique,11923,65.967632,17567
SYSB767-B767_2803-7,Composants Critiques,B767_2803,Système de communication radio,10370,27.69008000000001,19214
SYSB767-B767_2803-8,Composants Critiques,B767_2803,Système de gestion de carburant,13219,20.063696,18351
