ref_deg,linked_aero,compo_concerned,usure_nouvelle,measure_day,need_replacement
D003661,E170_6353,REAE170-E170_6353-0,75.81100000000002,2024-07-27,False
D009402,E170_6353,REAE170-E170_6353-1,73.61680000000003,2024-07-27,False
D000812,E170_6353,SYSE170-E170_6353-2,34.91380000000001,2024-07-27,False
D006665,E170_6353,ORDE170-E170_6353-3,24.663800000000005,2024-07-27,False
D001163,E170_6353,AUTE170-E170_6353-4,67.6446,2024-07-27,False
D004039,E170_6353,SYSE170-E170_6353-5,27.244000000000003,2024-07-27,False
D003609,E170_6353,RADE170-E170_6353-6,42.72139999999999,2024-07-27,False
D000662,E170_6353,SYSE170-E170_6353-7,44.05600000000001,2024-07-27,False
D005726,E170_6353,SYSE170-E170_6353-8,25.244200000000003,2024-07-27,False
D001649,E170_6353,SYSE170-E170_6353-9,48.99140000000002,2024-07-27,False
D000484,E170_6353,SYSE170-E170_6353-10,47.0646,2024-07-27,False
D000695,E170_6353,UNIE170-E170_6353-11,51.17319999999999,2024-07-27,False
D008324,E170_6353,SYSE170-E170_6353-12,58.05620000000001,2024-07-27,False
D004856,E170_6353,SYSE170-E170_6353-13,72.19659999999999,2024-07-27,False
D003519,E170_6353,SYSE170-E170_6353-14,66.15140000000001,2024-07-27,False
D001256,E170_6353,SYSE170-E170_6353-15,34.3998,2024-07-27,False
D000407,E170_6353,GENE170-E170_6353-16,60.108799999999995,2024-07-27,False
D003436,E170_6353,TRAE170-E170_6353-17,54.27020000000003,2024-07-27,False
D002068,E170_6353,TRAE170-E170_6353-18,52.39519999999998,2024-07-27,False
D006601,E170_6353,SYSE170-E170_6353-19,57.352599999999995,2024-07-27,False
D003686,E170_6353,AILE170-E170_6353-20,68.9832,2024-07-27,False
D006044,E170_6353,EMPE170-E170_6353-21,73.9348,2024-07-27,False
D007987,E170_6353,FLAE170-E170_6353-22,24.764999999999997,2024-07-27,False
D002475,E170_6353,SPOE170-E170_6353-23,27.656800000000004,2024-07-27,False
D000322,E170_6353,FREE170-E170_6353-24,48.817000000000014,2024-07-27,False
D008648,E170_6353,SYSE170-E170_6353-25,29.525000000000006,2024-07-27,False
D003139,E170_6353,GOUE170-E170_6353-26,53.15739999999999,2024-07-27,False
