ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V09274633,B737_3924,2024-06-20,5.0,"{'temp': '-6.0°C', 'pressure': '970.8 hPa', 'vibrations': '2.810447657911207 m/s²'}",0
V00733716,A321_1460,2024-06-20,2.7,"{'temp': '3.1°C', 'pressure': '1000.0 hPa', 'vibrations': '3.060806524500139 m/s²'}",0
V08518615,CRJ900_6319,2024-06-20,4.4,"{'temp': '4.1°C', 'pressure': '950.0 hPa', 'vibrations': '0.9096286625074329 m/s²'}",0
V07252947,A320_3178,2024-06-20,1.9,"{'temp': '4.5°C', 'pressure': '854.2 hPa', 'vibrations': '4.781951651389163 m/s²'}",0
V05633645,E175_6879,2024-06-20,2.1,"{'temp': '-2.6°C', 'pressure': '960.1 hPa', 'vibrations': '2.5903095902789324 m/s²'}",0
V01344191,B767_5422,2024-06-20,6.3,"{'temp': '2.5°C', 'pressure': '985.0 hPa', 'vibrations': '4.51670057905773 m/s²'}",0
V08471508,A321_3707,2024-06-20,7.8,"{'temp': '-10.0°C', 'pressure': '975.7 hPa', 'vibrations': '1.5272942422000868 m/s²'}",0
V07371103,B757_6092,2024-06-20,4.7,"{'temp': '-15.9°C', 'pressure': '1048.0 hPa', 'vibrations': '1.5231136933090217 m/s²'}",1
V09244929,B737_1117,2024-06-20,5.0,"{'temp': '-4.8°C', 'pressure': '926.2 hPa', 'vibrations': '3.8242264623503623 m/s²'}",0
V05784206,A380_0415,2024-06-20,2.2,"{'temp': '2.3°C', 'pressure': '880.1 hPa', 'vibrations': '1.9783605023173223 m/s²'}",0
V04667389,CRJ700_3181,2024-06-20,1.2,"{'temp': '5.3°C', 'pressure': '940.1 hPa', 'vibrations': '0.2143083407610169 m/s²'}",0
V03372918,E170_1130,2024-06-20,6.0,"{'temp': '-4.6°C', 'pressure': '940.1 hPa', 'vibrations': '3.664878675075483 m/s²'}",0
V07119039,E170_6246,2024-06-20,10.1,"{'temp': '5.0°C', 'pressure': '1046.8 hPa', 'vibrations': '1.4518428649863218 m/s²'}",0
V03060723,CRJ900_2577,2024-06-20,5.4,"{'temp': '5.2°C', 'pressure': '916.4 hPa', 'vibrations': '2.147972680752811 m/s²'}",0
V08062657,A330_3896,2024-06-20,4.0,"{'temp': '4.9°C', 'pressure': '1087.4 hPa', 'vibrations': '3.300502275481665 m/s²'}",0
V04388535,B767_2315,2024-06-20,4.2,"{'temp': '-5.1°C', 'pressure': '935.4 hPa', 'vibrations': '1.8945176454724133 m/s²'}",0
V06964595,A320_6678,2024-06-20,7.7,"{'temp': '-21.0°C', 'pressure': '909.1 hPa', 'vibrations': '2.472873348940344 m/s²'}",1
V07096945,A380_3607,2024-06-20,4.5,"{'temp': '-9.7°C', 'pressure': '936.8 hPa', 'vibrations': '1.6038888761741958 m/s²'}",0
V01934246,B777_6867,2024-06-20,5.3,"{'temp': '-13.7°C', 'pressure': '993.5 hPa', 'vibrations': '0.41018406742838964 m/s²'}",1
V08022338,A340_3962,2024-06-20,6.5,"{'temp': '15.8°C', 'pressure': '909.6 hPa', 'vibrations': '2.6048812452085017 m/s²'}",0
V09290930,CRJ700_3699,2024-06-20,9.5,"{'temp': '2.9°C', 'pressure': '827.9 hPa', 'vibrations': '0.10128088292919668 m/s²'}",0
V08049302,A330_0921,2024-06-20,3.3,"{'temp': '-8.1°C', 'pressure': '984.7 hPa', 'vibrations': '2.049711294221186 m/s²'}",0
V08986186,B777_3000,2024-06-20,6.2,"{'temp': '2.0°C', 'pressure': '1026.8 hPa', 'vibrations': '2.669721853512862 m/s²'}",0
V02214415,A350_3976,2024-06-20,3.5,"{'temp': '-6.0°C', 'pressure': '1018.1 hPa', 'vibrations': '2.971412356138556 m/s²'}",0
V07614073,B747_1460,2024-06-20,3.3,"{'temp': '-2.3°C', 'pressure': '953.2 hPa', 'vibrations': '3.5356337709450485 m/s²'}",0
V09383443,A330_2602,2024-06-20,1.9,"{'temp': '-14.6°C', 'pressure': '944.4 hPa', 'vibrations': '1.2508200062366797 m/s²'}",1
V08439055,A340_2793,2024-06-20,2.1,"{'temp': '18.3°C', 'pressure': '963.0 hPa', 'vibrations': '4.022259570459475 m/s²'}",2
V06269017,A380_0178,2024-06-20,10.6,"{'temp': '3.6°C', 'pressure': '878.5 hPa', 'vibrations': '2.9435892903862504 m/s²'}",0
V02676033,B777_0122,2024-06-20,6.2,"{'temp': '17.9°C', 'pressure': '913.4 hPa', 'vibrations': '2.8339274000053836 m/s²'}",0
V05034157,A340_4021,2024-06-20,3.5,"{'temp': '-29.8°C', 'pressure': '958.3 hPa', 'vibrations': '0.5793167398753435 m/s²'}",1
V02698160,B747_4007,2024-06-20,7.8,"{'temp': '-0.7°C', 'pressure': '962.7 hPa', 'vibrations': '1.2721708580039603 m/s²'}",0
V02473810,A380_6121,2024-06-20,0.6,"{'temp': '-25.8°C', 'pressure': '941.4 hPa', 'vibrations': '4.6588212291960245 m/s²'}",1
V08965378,B747_2389,2024-06-20,7.7,"{'temp': '-4.6°C', 'pressure': '948.3 hPa', 'vibrations': '4.900205302888927 m/s²'}",0
V08224310,A380_0594,2024-06-20,5.3,"{'temp': '7.6°C', 'pressure': '941.2 hPa', 'vibrations': '0.4195957916265941 m/s²'}",0
V01411054,B767_0906,2024-06-20,5.6,"{'temp': '-4.5°C', 'pressure': '995.7 hPa', 'vibrations': '1.0129852380032527 m/s²'}",0
V09977863,B747_4725,2024-06-20,5.7,"{'temp': '1.1°C', 'pressure': '998.4 hPa', 'vibrations': '4.581535343273942 m/s²'}",0
V05220866,B747_0472,2024-06-20,3.8,"{'temp': '-0.5°C', 'pressure': '829.2 hPa', 'vibrations': '1.6772297744463904 m/s²'}",0
V06752575,A330_2982,2024-06-20,4.5,"{'temp': '-10.4°C', 'pressure': '944.7 hPa', 'vibrations': '3.6569157674664226 m/s²'}",0
V02598700,B757_6477,2024-06-20,5.7,"{'temp': '-5.4°C', 'pressure': '877.8 hPa', 'vibrations': '2.346952733569845 m/s²'}",0
V01199650,B767_2803,2024-06-20,6.5,"{'temp': '5.6°C', 'pressure': '1003.2 hPa', 'vibrations': '0.5358767939450132 m/s²'}",0
V09594938,B747_1988,2024-06-20,6.9,"{'temp': '-4.2°C', 'pressure': '962.8 hPa', 'vibrations': '3.693947056759918 m/s²'}",0
V08189795,A350_4789,2024-06-20,0.7,"{'temp': '-17.5°C', 'pressure': '938.4 hPa', 'vibrations': '1.583077501829745 m/s²'}",1
V00985891,E170_2943,2024-06-20,2.8,"{'temp': '-2.7°C', 'pressure': '941.7 hPa', 'vibrations': '2.4748058317291477 m/s²'}",0
V02243065,E175_3843,2024-06-20,0.6,"{'temp': '1.6°C', 'pressure': '938.2 hPa', 'vibrations': '0.9708686766965807 m/s²'}",0
V07483904,B767_2417,2024-06-20,3.6,"{'temp': '-16.2°C', 'pressure': '935.6 hPa', 'vibrations': '0.04825190308458127 m/s²'}",1
V01821768,A330_3519,2024-06-20,1.0,"{'temp': '-7.4°C', 'pressure': '919.7 hPa', 'vibrations': '1.0705520507272215 m/s²'}",0
V06921412,A350_1177,2024-06-20,5.4,"{'temp': '-9.2°C', 'pressure': '955.7 hPa', 'vibrations': '4.904697266703275 m/s²'}",0
V07371698,B757_4595,2024-06-20,3.0,"{'temp': '1.2°C', 'pressure': '963.9 hPa', 'vibrations': '0.9184718861312785 m/s²'}",0
V04360977,A320_1884,2024-06-20,10.1,"{'temp': '8.0°C', 'pressure': '1090.2 hPa', 'vibrations': '1.7206686815860417 m/s²'}",0
V00443760,E170_1145,2024-06-20,4.0,"{'temp': '-8.5°C', 'pressure': '890.0 hPa', 'vibrations': '2.896803918195035 m/s²'}",0
V04498372,B767_4965,2024-06-20,4.3,"{'temp': '4.6°C', 'pressure': '1007.5 hPa', 'vibrations': '0.13738040824782638 m/s²'}",0
V01118909,CRJ700_2863,2024-06-20,0.6,"{'temp': '-0.0°C', 'pressure': '974.0 hPa', 'vibrations': '1.499006097150447 m/s²'}",0
V03437267,CRJ700_6943,2024-06-20,3.9,"{'temp': '9.9°C', 'pressure': '1018.9 hPa', 'vibrations': '2.5501977482227582 m/s²'}",0
V09677318,B757_2518,2024-06-20,6.9,"{'temp': '10.2°C', 'pressure': '828.7 hPa', 'vibrations': '2.0800354061125272 m/s²'}",0
V00225845,A320_2237,2024-06-20,4.3,"{'temp': '-8.9°C', 'pressure': '877.1 hPa', 'vibrations': '1.0543827760418645 m/s²'}",0
V08958440,E175_5586,2024-06-20,2.4,"{'temp': '-3.4°C', 'pressure': '897.0 hPa', 'vibrations': '4.634192232955372 m/s²'}",0
V08772119,A330_6979,2024-06-20,6.0,"{'temp': '-2.6°C', 'pressure': '924.2 hPa', 'vibrations': '4.4704668542216695 m/s²'}",0
V02569460,B767_3878,2024-06-20,4.7,"{'temp': '-6.7°C', 'pressure': '992.3 hPa', 'vibrations': '3.3815258896553875 m/s²'}",0
V04110275,A330_2237,2024-06-20,7.9,"{'temp': '-13.2°C', 'pressure': '941.4 hPa', 'vibrations': '2.358414128781636 m/s²'}",1
V08008662,A350_2655,2024-06-20,10.7,"{'temp': '-7.9°C', 'pressure': '1033.7 hPa', 'vibrations': '4.079382411386881 m/s²'}",0
V07125717,B737_2975,2024-06-20,1.5,"{'temp': '-4.8°C', 'pressure': '956.9 hPa', 'vibrations': '0.46375654195160654 m/s²'}",0
V03832648,B747_6800,2024-06-20,4.5,"{'temp': '-2.1°C', 'pressure': '904.2 hPa', 'vibrations': '1.362078418451595 m/s²'}",0
V03384644,A350_0643,2024-06-20,6.9,"{'temp': '-8.0°C', 'pressure': '974.5 hPa', 'vibrations': '4.4699891204275275 m/s²'}",0
V00979422,A320_3521,2024-06-20,2.9,"{'temp': '7.8°C', 'pressure': '942.9 hPa', 'vibrations': '4.109945530327534 m/s²'}",0
V05884851,CRJ700_2189,2024-06-20,5.4,"{'temp': '-2.6°C', 'pressure': '831.4 hPa', 'vibrations': '0.3066188087666549 m/s²'}",0
V09881237,E175_2805,2024-06-20,3.8,"{'temp': '7.3°C', 'pressure': '950.3 hPa', 'vibrations': '0.7096270244872782 m/s²'}",0
V01802633,E175_2977,2024-06-20,8.9,"{'temp': '1.9°C', 'pressure': '880.7 hPa', 'vibrations': '0.08587769075800833 m/s²'}",0
V02221569,B737_4369,2024-06-20,1.2,"{'temp': '-5.4°C', 'pressure': '947.8 hPa', 'vibrations': '3.397369556420929 m/s²'}",0
V03882522,CRJ700_1788,2024-06-20,7.3,"{'temp': '9.7°C', 'pressure': '927.0 hPa', 'vibrations': '0.040659844118430266 m/s²'}",0
V02346680,B747_0262,2024-06-20,3.6,"{'temp': '-7.6°C', 'pressure': '867.7 hPa', 'vibrations': '2.78742688527482 m/s²'}",0
V06431119,A330_4686,2024-06-20,2.7,"{'temp': '0.2°C', 'pressure': '973.8 hPa', 'vibrations': '2.511004210863661 m/s²'}",0
V01886757,B767_5501,2024-06-20,2.7,"{'temp': '4.9°C', 'pressure': '1021.1 hPa', 'vibrations': '1.5816695935823581 m/s²'}",0
V07043284,A321_0181,2024-06-20,7.5,"{'temp': '-15.9°C', 'pressure': '812.3 hPa', 'vibrations': '0.9848277323157512 m/s²'}",1
V06383910,A320_5229,2024-06-20,9.0,"{'temp': '-3.2°C', 'pressure': '938.9 hPa', 'vibrations': '4.2975619821842805 m/s²'}",0
V04438288,CRJ900_1993,2024-06-20,3.3,"{'temp': '-0.9°C', 'pressure': '982.5 hPa', 'vibrations': '0.9579161874931208 m/s²'}",0
V02164941,A350_0441,2024-06-20,5.9,"{'temp': '-4.8°C', 'pressure': '868.7 hPa', 'vibrations': '2.5477203853343826 m/s²'}",0
